任务编号	到达时间	服务时间	开始时间	完成时间	周转时间	带权周转时间
1		0		2		0		2		2		1
2		1		9		3		12		11		1
3		2		3		13		16		14		4
4		3		2		17		19		16		8
5		4		9		20		29		25		2
6		5		2		30		32		27		13
7		6		1		33		34		28		28
8		7		2		35		37		30		15
9		8		2		38		40		32		16
10		9		1		41		42		33		33
11		10		3		43		46		36		12
12		11		6		47		53		42		7
13		12		6		54		60		48		8
14		13		2		61		63		50		25
15		14		9		64		73		59		6
16		15		9		74		83		68		7
17		16		6		84		90		74		12
18		17		9		91		100		83		9
19		18		3		101		104		86		28
20		19		2		105		107		88		44
21		20		6		108		114		94		15
22		21		6		115		121		100		16
23		22		6		122		128		106		17
24		23		9		129		138		115		12
25		24		2		139		141		117		58
26		25		9		142		151		126		14
27		26		2		152		154		128		64
28		27		3		155		158		131		43
29		28		6		159		165		137		22
30		29		6		166		172		143		23
31		30		9		173		182		152		16
32		31		9		183		192		161		17
33		32		6		193		199		167		27
34		33		2		200		202		169		84
35		34		6		203		209		175		29
36		35		9		210		219		184		20
37		36		9		220		229		193		21
38		37		9		230		239		202		22
39		38		1		240		241		203		203
40		39		1		242		243		204		204
41		40		3		244		247		207		69
42		41		6		248		254		213		35
43		42		6		255		261		219		36
44		43		6		262		268		225		37
45		44		6		269		275		231		38
46		45		3		276		279		234		78
47		46		6		280		286		240		40
48		47		9		287		296		249		27
49		48		3		297		300		252		84
50		49		9		301		310		261		29
51		50		6		311		317		267		44
52		51		9		318		327		276		30
53		52		6		328		334		282		47
54		53		2		335		337		284		142
55		54		6		338		344		290		48
56		55		1		345		346		291		291
57		56		3		347		350		294		98
58		57		9		351		360		303		33
59		58		3		361		364		306		102
60		59		9		365		374		315		35
61		60		1		375		376		316		316
62		61		3		377		380		319		106
63		62		6		381		387		325		54
64		63		9		388		397		334		37
65		64		3		398		401		337		112
66		65		9		402		411		346		38
67		66		2		412		414		348		174
68		67		2		415		417		350		175
69		68		3		418		421		353		117
70		69		3		422		425		356		118
71		70		9		426		435		365		40
72		71		1		436		437		366		366
73		72		2		438		440		368		184
74		73		9		441		450		377		41
75		74		9		451		460		386		42
76		75		2		461		463		388		194
77		76		6		464		470		394		65
78		77		2		471		473		396		198
79		78		6		474		480		402		67
80		79		3		481		484		405		135
81		80		1		485		486		406		406
82		81		2		487		489		408		204
83		82		6		490		496		414		69
84		83		3		497		500		417		139
85		84		9		501		510		426		47
86		85		1		511		512		427		427
87		86		2		513		515		429		214
88		87		2		516		518		431		215
89		88		1		519		520		432		432
90		89		3		521		524		435		145
91		90		2		525		527		437		218
92		91		3		528		531		440		146
93		92		6		532		538		446		74
94		93		3		539		542		449		149
95		94		9		543		552		458		50
96		95		6		553		559		464		77
97		96		1		560		561		465		465
98		97		9		562		571		474		52
99		98		3		572		575		477		159
100		99		1		576		577		478		478
